part,attack,seed,path,reference_path,meta,n_layers,layer_dz_med,layer_dz_std,e_per_mm_med,e_per_mm_cv,e_per_mm_min_ratio,fill_ratio_med,fill_ratio_std,fill_ratio_min_ratio,path_len_cv,n_temp_cmds,temp_first,temp_min,bbox_x,bbox_y,jitter_score,frac_travel_in_fill,max_layer_travel_fill
block,none,0,/Users/harshelite/Desktop/AM_Security_Nikhil/data/gcode/block_clean.gcode,/Users/harshelite/Desktop/AM_Security_Nikhil/data/gcode/block_clean.gcode,{},50,0.20000000000000018,4.656566642091115e-16,0.03326007313558416,2.0419855731987582e-07,0.9999999999999969,0.661194008916978,1.1214946133455537e-16,1.0,2.009753885454868e-16,2,210.0,210.0,29.6,19.6,7.048583938740194e-16,1.0392,1.04
block,none,1,/Users/harshelite/Desktop/AM_Security_Nikhil/data/gcode/block_benign0.gcode,/Users/harshelite/Desktop/AM_Security_Nikhil/data/gcode/block_clean.gcode,"{""infill_density"": 0.2}",50,0.20000000000000018,4.656566642091115e-16,0.033260036660923475,2.5001538589407964e-07,0.999999999999996,0.5652814065183529,0.0,1.0,2.5786951982060033e-16,2,210.0,210.0,29.6,19.6,1.0365564615794402e-15,1.0576470588235294,1.0588235294117647
block,none,2,/Users/harshelite/Desktop/AM_Security_Nikhil/data/gcode/block_benign1.gcode,/Users/harshelite/Desktop/AM_Security_Nikhil/data/gcode/block_clean.gcode,"{""infill_density"": 0.4}",50,0.20000000000000018,4.656566642091115e-16,0.03326009642451558,1.8037787521789112e-07,0.9999999999999948,0.7224338390764359,0.0,1.0,0.0,2,210.0,210.0,29.6,19.6,6.674795396534274e-16,1.0296969696969698,1.0303030303030303
block,none,3,/Users/harshelite/Desktop/AM_Security_Nikhil/data/gcode/block_benign2.gcode,/Users/harshelite/Desktop/AM_Security_Nikhil/data/gcode/block_clean.gcode,"{""layer_height"": 0.15}",67,0.15000000000000002,4.0839384567343154e-16,0.024945063601842753,3.3891562549976556e-07,0.9999992984459894,0.661194008916978,0.0,1.0,2.0045705625479358e-16,2,210.0,210.0,29.6,19.6,5.938864657099345e-16,1.039402985074627,1.04
block,none,4,/Users/harshelite/Desktop/AM_Security_Nikhil/data/gcode/block_benign3.gcode,/Users/harshelite/Desktop/AM_Security_Nikhil/data/gcode/block_clean.gcode,"{""layer_height"": 0.25}",40,0.25,0.0,0.04157510016963488,1.9034675010200696e-07,0.9999995790675323,0.661194008916978,0.0,1.0,0.0,2,210.0,210.0,29.6,19.6,1.1368683772161603e-15,1.039,1.04
block,none,5,/Users/harshelite/Desktop/AM_Security_Nikhil/data/gcode/block_benign4.gcode,/Users/harshelite/Desktop/AM_Security_Nikhil/data/gcode/block_clean.gcode,"{""nozzle_temp"": 200}",50,0.20000000000000018,4.656566642091115e-16,0.03326007313558416,2.0419855731987582e-07,0.9999999999999969,0.661194008916978,1.1214946133455537e-16,1.0,2.009753885454868e-16,2,200.0,200.0,29.6,19.6,7.048583938740194e-16,1.0392,1.04
block,none,6,/Users/harshelite/Desktop/AM_Security_Nikhil/data/gcode/block_benign5.gcode,/Users/harshelite/Desktop/AM_Security_Nikhil/data/gcode/block_clean.gcode,"{""nozzle_temp"": 220}",50,0.20000000000000018,4.656566642091115e-16,0.03326007313558416,2.0419855731987582e-07,0.9999999999999969,0.661194008916978,1.1214946133455537e-16,1.0,2.009753885454868e-16,2,220.0,220.0,29.6,19.6,7.048583938740194e-16,1.0392,1.04
block,none,7,/Users/harshelite/Desktop/AM_Security_Nikhil/data/gcode/block_benign6.gcode,/Users/harshelite/Desktop/AM_Security_Nikhil/data/gcode/block_clean.gcode,"{""print_speed"": 30.0}",50,0.20000000000000018,4.656566642091115e-16,0.03326007313558416,2.0419855731987582e-07,0.9999999999999969,0.661194008916978,1.1214946133455537e-16,1.0,2.009753885454868e-16,2,210.0,210.0,29.6,19.6,7.048583938740194e-16,1.0392,1.04
block,none,8,/Users/harshelite/Desktop/AM_Security_Nikhil/data/gcode/block_benign7.gcode,/Users/harshelite/Desktop/AM_Security_Nikhil/data/gcode/block_clean.gcode,"{""print_speed"": 60.0}",50,0.20000000000000018,4.656566642091115e-16,0.03326007313558416,2.0419855731987582e-07,0.9999999999999969,0.661194008916978,1.1214946133455537e-16,1.0,2.009753885454868e-16,2,210.0,210.0,29.6,19.6,7.048583938740194e-16,1.0392,1.04
block,infill_reduction,0,/Users/harshelite/Desktop/AM_Security_Nikhil/data/gcode/block_infill_reduction_s0.gcode,/Users/harshelite/Desktop/AM_Security_Nikhil/data/gcode/block_clean.gcode,"{""layers"": [17, 29], ""factor"": 0.4}",50,0.20000000000000018,4.656566642091115e-16,0.03326007313558409,1.683123933221823,0.9999968841919803,0.661194008916978,0.0978842954218168,0.6630408737331661,0.19751973087570981,2,210.0,210.0,29.6,19.6,7.812602592243755e-16,1.0464454976303317,1.1
